id,like,reply,retweet,view,username,text,time,text_clean,text_preprocessed,polarity_score,polarity
1,0,2,0,265,@namakuuta,"cepet bgt prj udah kelar ajaa, sekarang kembali ke info loker lagi pren",2023-07-17 06:36:38,cepat banget prj sudah selesai saja sekarang kembali ke informasi lowongan kerja lagi teman,"['cepat', 'banget', 'prj', 'selesai', 'informasi', 'lowong', 'kerja', 'teman']",3,positive
2,0,0,0,13,@NURULHA67785896,Tahun ini ga ke prj karna ga kuat buat buat tawaf karna lagi hamil 8 bulan. Smoga tahun depan bs ngajak neng azka tawaf ke prj. Dikasih rezeki buat beli ini itu yak... Aamiin,2023-07-17 06:32:20,tahun ini tidak ke prj karena tidak kuat buat buat tawaf karena lagi hamil bulan semoga tahun depan bisa mengajak neng azka tawaf ke prj dikasih rezeki buat beli ini itu iya amin,"['prj', 'kuat', 'tawaf', 'hamil', 'moga', 'ajak', 'neng', 'azka', 'tawaf', 'prj', 'kasih', 'rezeki', 'beli', 'iya', 'amin']",4,positive
3,0,1,0,73,@sonyaNF,"kenapa yaa sekalinya ada kerjaan tuh antriannya kaya masuk prj sampe bingung mana dulu yang harus dikerjian, giliran ga ada bener bener ga ada.",2023-07-17 06:05:43,kenapa ya sekalinya ada pekerjaan itu antriannya kayak masuk prj sampai bingung mana dulu yang harus dikerjain giliran tidak ada benar benar tidak ada,"['ya', 'sekali', 'kerja', 'antri', 'kayak', 'masuk', 'prj', 'bingung', 'dikerjain', 'gilir']",-6,negative
4,0,0,0,24,@welovekimjongun,GW BARU BNTR BGT EDIT VID PRJ TPI KEK SEDIH BGT ANJING PDHL CUMAN SEBULAN KERJA TPI KEK SEDIH BGT COKKK,2023-07-17 04:28:59,aku baru bentar banget edit video prj tapi kayak sedih banget anjing padahal hanya sebulan kerja tapi kayak sedih banget cok,"['bentar', 'banget', 'edit', 'video', 'prj', 'kayak', 'sedih', 'banget', 'anjing', 'bulan', 'kerja', 'kayak', 'sedih', 'banget', 'cok']",-27,negative
5,0,1,0,21,@ppoizeu,"selesai juga, bingung mau sedih atau seneng karena prj selesai ",2023-07-17 03:18:24,selesai juga bingung mau sedih atau senang karena prj selesai,"['selesai', 'bingung', 'sedih', 'senang', 'prj', 'selesai']",-3,negative
6,0,0,0,22,@dindashagita,bye prj 2023,2023-07-17 03:11:44,sampai jumpa prj,"['jumpa', 'prj']",0,neutral
7,0,1,1,80,@haninaniinuu,Prj dah kelar bingung mau seneng apa sedih,2023-07-17 02:32:14,prj sudah selesai bingung mau senang apa sedih,"['prj', 'selesai', 'bingung', 'senang', 'sedih']",-5,negative
8,0,0,0,28,@itznoo__,Ada statistik jumlah kasus orang kecopetan selama berlangsungnya prj ga ya,2023-07-17 02:14:10,ada statistik jumlah kasus orang kecopetan selama berlangsungnya prj tidak iya,"['statistik', 'orang', 'copet', 'langsung', 'prj', 'iya']",4,positive
9,0,1,0,110,@BismaAdty,Goblog aing beunang tilang polisi skena di PRJ.,2023-07-17 01:59:12,goblok saya ketangkap bukti pelanggaran polisi skena di prj,"['goblok', 'tangkap', 'bukti', 'langgar', 'polisi', 'skena', 'prj']",-11,negative
10,0,1,0,33,@seungcheoly,"story temen"" isinya closingan prj semua ",2023-07-17 01:54:46,cerita teman isinya penutupan prj semua,"['cerita', 'teman', 'isi', 'tutup', 'prj']",-5,negative
